Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Bach Long Vy,2023,7,15,30.8,81.0,0.0,5.0
Bach Long Vy,2023,7,16,30.7,84.0,1.5,5.1
Bach Long Vy,2023,7,17,30.6,81.0,7.8,3.5
Bach Long Vy,2023,7,18,27.9,84.0,34.2,0.0
Bach Long Vy,2023,7,19,29.2,86.0,0.7,0.4
Bach Long Vy,2023,7,20,30.3,87.0,124.2,3.0
Bach Long Vy,2023,7,21,29.5,86.0,46.9,3.2
Bach Long Vy,2023,7,22,29.8,83.0,0.8,8.9
Bach Long Vy,2023,7,23,29.0,83.0,0.0,10.7
Bach Long Vy,2023,7,24,29.9,79.0,0.0,10.3
Bach Long Vy,2023,7,25,30.1,81.0,0.0,11.7
Bach Long Vy,2023,7,26,30.2,81.0,0.0,11.1
Bach Long Vy,2023,7,27,30.6,83.0,0.0,11.2
Bach Long Vy,2023,7,28,31.3,85.0,0.0,10.1
Bach Long Vy,2023,7,29,30.7,84.0,0.0,1.6
Bach Long Vy,2023,7,30,28.4,88.0,6.1,1.3
Bach Long Vy,2023,7,31,29.7,88.0,13.6,0.0
Bach Long Vy,2023,8,1,28.3,91.0,0.0,1.6
Bach Long Vy,2023,8,2,28.8,89.0,0.0,2.7
Bach Long Vy,2023,8,3,26.7,93.0,17.7,0.0
Bach Long Vy,2023,8,4,27.6,92.0,5.2,0.5
Bach Long Vy,2023,8,5,29.2,87.0,22.9,0.1
Bach Long Vy,2023,8,6,29.4,82.0,0.0,1.4
Bach Long Vy,2023,8,7,28.6,81.0,0.0,1.6
Bach Long Vy,2023,8,8,29.5,81.0,0.0,4.7
Bach Long Vy,2023,8,9,30.0,83.0,14.8,7.4
Bach Long Vy,2023,8,10,30.3,86.0,1.8,0.8
Bach Long Vy,2023,8,11,28.1,88.0,1.2,1.7
Bach Long Vy,2023,8,12,29.0,88.0,0.0,3.6
Bach Long Vy,2023,8,13,29.6,87.0,4.9,3.3
Bach Long Vy,2023,8,14,30.2,86.0,15.0,3.3
Bach Long Vy,2023,8,15,29.5,88.0,6.7,0.4
Bach Long Vy,2023,8,16,30.2,87.0,8.4,4.4
Bach Long Vy,2023,8,17,31.1,87.0,0.0,9.7
Bach Long Vy,2023,8,18,31.2,88.0,0.0,4.7
Bach Long Vy,2023,8,19,29.0,89.0,4.4,0.0
Bach Long Vy,2023,8,20,27.3,91.0,50.0,0.0
Bach Long Vy,2023,8,21,29.3,90.0,0.0,9.3
Bach Long Vy,2023,8,22,29.4,88.0,0.0,10.4
Bach Long Vy,2023,8,23,30.5,88.0,20.8,3.7
Bach Long Vy,2023,8,24,30.5,84.0,5.3,5.7
Bach Long Vy,2023,8,25,30.0,83.0,1.9,0.7
Bach Long Vy,2023,8,26,30.0,82.0,2.0,2.4
Bach Long Vy,2023,8,27,30.6,81.0,0.0,1.5
Bach Long Vy,2023,8,28,29.3,86.0,58.0,0.0
Bach Long Vy,2023,8,29,27.4,82.0,0.0,0.2
Bach Long Vy,2023,8,30,26.0,86.0,0.0,4.7
Bach Long Vy,2023,8,31,28.1,71.0,0.0,5.6
Bach Long Vy,2023,9,1,29.3,72.0,0.0,7.1
Bach Long Vy,2023,9,2,30.2,76.0,0.0,2.3
Bach Long Vy,2023,9,3,27.0,74.0,5.4,0.0
Bach Long Vy,2023,9,4,26.9,84.0,0.2,1.6
Bach Long Vy,2023,9,5,28.0,82.0,0.0,9.1
Bach Long Vy,2023,9,6,29.4,79.0,0.0,10.3
Bach Long Vy,2023,9,7,29.4,79.0,0.0,10.4
Bach Long Vy,2023,9,8,28.7,82.0,1.0,7.8
Bach Long Vy,2023,9,9,27.7,84.0,0.0,2.3
